"","id","Strategy","Forecasts","Threats","Red_Dot","Red_Dot_TEXT","Larger","Variable","Hit","Age","Gender","VisType","Encoding"
"1",119,"Generally, I followed what I assumed to be the predicted path of the hurricane to determine the diameter. I estimated the diameter based off the edge of the circle first coming in contact with the red dot. If the red dot was outside the predicted range, it'd need a larger diameter, which often resulted in my choosing the largest diameter circle.","2","2","3",NA,"1","2","2","19","2","Cone","Size"
"2",146,"I looked at both the map and the circles in my peripheral vision to see which ones matched the most","2","2","1",NA,"1","1","2","18","2","Cone","Size"
"3",168,"If it was close to the top of the blue I made it be the biggest it could if it was more toward the middle I chose based on the beginning size.","2","2","2",NA,"1","1","2","22","2","Cone","Size"
"4",86,"The blue shaded area indicating possible size as the hurricane moved as well as relative distance from the origin.","2","2","4","oil rig","1","2","2","30","1","Cone","Size"
"5",51,"if the dot was not in the highlighted area, then it would not effect the hurricane.","2","2","1",NA,"2","1","2","18","2","Cone","Size"
"6",59,"In all honesty i did it based of how big the hurricane would need to be when it gets to the dot.","2","2","4","Oil rig","2","2","2","23","1","Cone","Size"
"7",3,"I used the path to determin what it would look like and the dots inthe path were similar to the diameters of the choices so i just chose the one that was closest to the oil rig and picked the answer similar to the size of the path.","2","2","4",NA,"1","1","2","20","2","Cone","Size"
"8",114,"I tried to look at the approximate diameter of the hurricane as it began its path and estimate what the size might be as it continued. I tried to guess what the size would be if it went off the highlighted area and approached the red dot. I also used the projected size of the hurricane (the diameter at the end of the blue portion), to get an idea of what the size would end up as.","2","1","4","The position of the oil rig","1","1","2","23","1","Cone","Size"
"9",111,"Not sure I entirely understood it correctly. Just based my hurricane immediate size on the location in relation to the path I guess","2","2","1",NA,"1","1","1","44","1","Cone","Size"
"10",106,"Well at first I was confused and did it totally inaccurate. I apologize., But then I used the red dot to measure the distance from the red dot to the outside of the hurricane path and based my guesses off of that.","2","2","3",NA,"1","2","2","21","2","Cone","Size"
"11",177,"I eyeballed how large the highlighted are of the huricane was assuming that was its diameter at anygiven time. Thus I looked at the red dot relatively to where the center line of the huricane forcast is and geussed how large it would be.","2","2","4","where the oil rig was","1","2","1","18","2","Cone","Size"
"12",68,"I tried to determined the size of the initial circle. I then imagined lining up the larger circles in a row from smallest to largest. The circles that landed on the red dot was the letter that I choose.","2","2","1",NA,"1","1","1","19","2","Cone","Size"
"13",151,"I generally went with the size of the hurricane on path equal with the red dot and concluded that was the size it would be.","2","2","1",NA,"1","2","2","22","1","Cone","Size"
"14",98,"The red dot always stayed in the same kind of area, even though the shape of the hurricane was changing, the red dot wasn't. So as long as I kept in mind that it was all within one circle, I was good. /","2","2","4","An oil rig","2","1","1","19","1","Cone","Size"
"15",41,"The closer to the coast the hurricane is the larger the diameter would be.  If the dot was farther out into the ocean the hurricane would have less force and pressure.  If the dot was closer to where the hurricane originated it would be smaller and have less force.","2","2","1",NA,"1","1","2","21","1","Cone","Size"
"16",70,"I eliminated what was the obvious, which was the dots that were shown in the majority of the images had a rather large diameter. So I eliminated all the small diameter measures and looked at the larger measures.","2","2","1",NA,"1","2","2","20","2","Cone","Size"
"17",153,"I assumed the further the red dot, the bigger the hurricane diameter would be.","2","2","1",NA,"1","2","2","18","2","Cone","Size"
"18",95,"I'm not very good with spatial awareness, so knowing this then during the sample I used a piece of paper to measure the largest circle choice (i) and held it up to the hurricane map at the largest point to see that they matched.  Then I deduced that the dots descending in the hurricane map would follow suit possibly with the other dots and respective sizes of circle choices on average.  So I would choose (i) if it was near the dot at the end of the map, (h) near the second dot, and (g) if it was close to the second dot or below.","2","2","1",NA,"1","2","1","35","2","Cone","Size"
"19",9,"I guessed which diameter best corresponded with the hurricane at the state it was given, and then with each succeeding dot after the given state of the hurricane, I accounted for an increase in the diameter by letter. If it reached 'i' before the dots had run out, I just stuck with 'i'. I assumed that a hurricane is going to increase until a certain point, at least while it was still above a body of water. A hurricane would lose diameter once it was over land.","2","2","2",NA,"1","2","2","18","2","Cone","Size"
"20",26,"To be quite honest, I'm not completely sure if I chose the correct answers.","2","2","3",NA,"2","1","2","22","2","Cone","Size"
"21",88,"In order to decide the size I looked at how far off the original path the actual oil rig was.  If it was quite far out, I assumed that there would be some sort of backlash effects that resembled a small hurricane however they would not feel the full effects.","2","1","4",NA,"1","1","1","32","1","Cone","Size"
"22",18,"I started by looking at the circle that was already on the picture and in my mind I tried to move it along the blue line. Then when I came close to the red dot I figured out the increase or the decrease of the circle that needed to happen for the circle to touch the red dot.","2","2","4","the oil thing?","1","1","1","20","2","Cone","Size"
"23",100,"I just used the diameter of the path to select the diameter of the hurricane with the red dot","2","2","4","oil rig","1","2","2","24","2","Cone","Size"
"24",2,"Well for the most part I just guessed when the edge of hurricane would reach the red dot, what would the size of the diameter be. If the red dot wasn't on the projected path I just hypothetically adjusted the path and guessed as to if the path was changed to converge on the red dot, what diameter the hurricane would be when the outer edge would reach the oil rig.","2","2","3",NA,"1","1","1","22","1","Cone","Size"
"25",162,"I made my decision by choosing the Letter which best represented the distance of the red dot, with the closest corresponding purple dot.","2","2","1",NA,"1","2","2","22","1","Cone","Size"
"26",116,"Mental rotation of the projected diameter to meet the location of the oil rig.","2","2","4","Oil rig","1","2","1","19","1","Cone","Size"
"27",7,"Used the hurricane forecast as a visual aide, the larger the display looked the larger the diameter i chose.","2","2","4","location of the oil rig","1","2","2","23","1","Cone","Size"
"28",21,"I selected the diameter of the hurricane based on where the oil rig was located, be it inside of the hurricane (dark blue area) or next to but not inside of the hurricane.","2","2","2",NA,"1","2","1","18","2","Cone","Size"
"29",84,"I found the instructions confusing to be honest. I was to assume the red dot, or oil structure, was to be hit by the hurricane, regardless of whether the projected destruction path of the hurricane aligned with that truth; however, it was not clear whether I was to increase the destruction radius to swallow the red dot or whether I was to pivot the destruction radius to align with the red dot (and if so, to what extent). For those reasons, my decision-making was the former for the first part, and then the latter for the last parts. I am sorry if my data skews the results of this study.","2","2","4","If the oil structure was already in the projected path, then I let it be. If the red dot was located outside the projected path, I viewed as outer edge for the first part and center for the second part.","1","1","2","18","1","Cone","Size"
"30",30,"i assumed that i was being asked when the hurricane would first hit the dot. meaning the edge of the hurricane rather than the center, and I also assumed that the hurricane could fluctuate from the displayed path and so could still hit the oil rig even if the path didn't directly indicate that","2","2","3",NA,"1","2","2","19","1","Cone","Size"
"31",1,"I mostly focused on the blue growth of the hurricane to make my decisions about what the size of the hurricane would be at a given time. In some instances I noticed the diameter of the hurricane at starting point would be different in each picture and would decide on the size of the hurricane based on both the starting point and growth of expansion of the hurricane.","2","2","1",NA,"1","2","1","22","1","Cone","Size"
"32",65,"I would blink back and forth on the sizes provided bellow and back to the red dot diameter with the closest blue dot it's next to.","1","2","3",NA,"1","2","1","23","2","Cone","Size"
"33",172,"when I began I chose to match up the dots, but then as I was about half way through zI thought maybe the circle got smaller as it went further towards the oil rig","2","1","1",NA,"2","2","1","45","2","Cone","Size"
"34",31,"I estimated the size based on what I thought the size of the hurricane looked like, if it went directly in the path of the oil rig","2","2","2",NA,"1","1","2","51","2","Cone","Size"
"35",110,"I visualized in my mind, moving the blue shaded area so that the two dots lined up and then the circle that best fit inside the shaded area was the circle size I picked.","2","2","1",NA,"1","2","1","21","2","Cone","Size"
"36",101,"I tried to equal the distance between the dot and the circle.","2","2","1",NA,"1","2","2","33","2","Cone","Size"
"37",121,"I measured the first dot and then counted how many lines it went to the red dot. Then went from the first dot to how ever many dots it traveled to the red dot. For example, if it started as a B, and had to go four dot/lines up to hit the red dot, I would classify that as a F.","2","2","1",NA,"1","2","2","18","2","Cone","Size"
"38",131,"I based it off of the size of the hurricane, the circle at the beginning, and looked at how the blue area grew as it got closer to the red dot. I tried to visualize how the ratio of growth in blue could translate to the hurricane at the point.","2","2","2",NA,"2","2","2","18","1","Cone","Size"
"39",62,"I looked at it and determined the size by eye shot","2","2","1",NA,"1","2","1","18","2","Cone","Size"
"40",150,"I first used a quarter to help get a solid visual image to compare to the dot and from there i would decide wether it is smaller or bigger then the quarter.","2","2","1",NA,"1","2","1","19","1","Cone","Size"
"41",167,"I pictured the radar for when a hurricane is coming to shore and imagined what the cone shape looked like each time","1","1","4","An oil rig","1","1","2","20","2","Ensemble","Size"
"42",25,"I made my decision based on how dark the trail was where the predicted hurricane was going to go.","2","2","2",NA,"1","1","1","26","2","Ensemble","Size"
"43",81,"I assumed the hurricane would get a little bigger by the time it reached the oil rig so I always chose a diameter that was a little larger than the one represented in the picture.","2","2","1",NA,"1","2","1","18","2","Ensemble","Size"
"44",155,"I watched how intense the pathways were. And then followed it from there. And then has the lines slowed regressed I figured the diameter were too. Or they would waver off and that helped me make my choice","2","2","1",NA,"2","2","1","24","2","Ensemble","Size"
"45",73,"I used the lines to determine how large the diameter would be. The closer they were to the large mass of lines the larger I assumed it to be. The further away and the smaller I assumed it would be (on average)","2","2","1",NA,"1","2","1","25","1","Ensemble","Size"
"46",163,"I looked at the lines of the hurricane, the more there was the bigger the hurricane was.","2","2","2",NA,"1","1","2","24","2","Ensemble","Size"
"47",66,"I think that if you are trying to learn about how people make decisions with regard to hurricane visualizations, you’ve gone about it the wrong way. I lived in a place that experienced hurricanes on numerous occasions and your question and image format were missing a lot of information. My reasoning assumed that hurricane hits to the red dot would be direct hits. The farther from the center of the predicted paths of travel for the hurricane, the weaker the hurricane would be when it hit the oil rig.","1","1","4","Bad phrasing on this question, but the red dot represented the oil rig which if the hurricane were to hit, I assumed would be a direct hit for the sake of consistency. If the hurricane were to hit along the edge, there would be no way to determine on which edge and what path the hurricane had taken.","2","1","2","29","1","Ensemble","Size"
"48",105,"I looked at about where the center ofl the geustimation of the hurrican trail would follow then looked at the red dot and used my best judgement to geuss the diameter.","2","2","3",NA,"1","1","2","18","2","Ensemble","Size"
"49",72,"I tried to visualize the diameter the hurricane would have to be if the center was at the densest part of the lines.","2","2","1",NA,"2","1","2","20","2","Ensemble","Size"
"50",43,"I determined that the hurricane started off as big as they are and as they get closer to the red dot, they get smaller.","2","2","1",NA,"2","1","1","23","2","Ensemble","Size"
"51",97,"I compared the size of the circle on the map to the letters of the circles below.","2","2","1",NA,"2","2","1","19","2","Ensemble","Size"
"52",52,"matching the sizes of the circles, trying to not fall for an illusion","2","2","1",NA,"2","2","1","18","2","Ensemble","Size"
"53",10,"comparing the size of the circles at the bottom. -Avoiding illusion as much as possible.","2","2","1",NA,"2","2","1","18","2","Ensemble","Size"
"54",137,"I made my decisions based on the distance between the diameter of the hurricane and the red dot.","2","2","2",NA,"1","2","2","28","2","Ensemble","Size"
"55",108,"The closer to shore, the bigger. Hurricanes die down when they get around and out by  cold water","2","2","2",NA,"2","1","2","21","2","Ensemble","Size"
"56",161,"My decision-making process was based solely on how much of the hurricane was hitting the oil rig.  If there were fewer lines (stemming from the origin of the hurricane) that were on or around the rig, I decided that the diameter of the hurricane was smaller due to how little of an impact it would seemingly have on the rig.  If the rig was dead in the middle of the torrential blast, I decided that the hurricane would retain a similar size, which would make less of a drastic change in the size of the diameter once it reached the oil rig.","2","2","2",NA,"2","2","1","18","2","Ensemble","Size"
"57",164,"I estimated the length, and the distance that seemed the most appropriate  was chosen as the diameter.","2","2","4","oil rig","2","2","1","19","2","Ensemble","Size"
"58",166,"I looked at the diameter of the hurricane and matched it with the options below. Then, I looked at the red dot and I noted how far it was and then I tried to see how the hurricane would move.","2","1","4","oil rig","1","1","2","19","2","Ensemble","Size"
"59",149,"I looked at the given diameter and I estimated how it would change once it reached the red dot.  I thought to myself that if it started small it would increase its diameter once it reached the red dot and if its initial diameter was larger, it would decrease its strength once it reached the red dot. However, sometimes I would assume that it would stay around the same diameter if the initial diameter and the red dot had similar locations (near the edge of the states).","2","2","2",NA,"2","1","2","20","2","Ensemble","Size"
"60",33,"I thought about the lines that were shown to me and make an inference that the hurricane would lose mass as it traveled","2","2","1",NA,"2","1","1","18","2","Ensemble","Size"
"61",126,"I thought that the blue lines were the path that the hurricane would follow, and so if the red dot was outside of the blue line, the hurricane would have to expand in order to reach it.","2","2","2",NA,"1","1","1","19","1","Ensemble","Size"
"62",141,"I had no idea what you guys were asking so i just chose whatever size that matches on the map.","2","2","1",NA,"1","1","2","19","2","Ensemble","Size"
"63",22,"If the red dot was in line with the pattern of the hurricane, I assumed it wasn't really growing drastic amounts.  If it was further away from the hurricane's pattern, I assumed the diameter would be much bigger.","2","2","4","oil rig","2","2","2","23","2","Ensemble","Size"
"64",79,"I was pretty confused by the explanation at first so i both looked at the size or the black circle and chose the answer that was closest in size, and i also decided the size of the circle was the amount of blue lines/thickness of crazy water. and chose accordingly.","2","2","4","I thought that's where the oil rig was","2","1","2","18","2","Ensemble","Size"
"65",90,"I know hardly anything about hurricanes, and I felt the instructions were a little unclear. Were we supposed to assume the hurricane would grow or shrink? Or was this more a test of how well we could visualize size comparisons shown by our selection of the circle that most closely matching the hurricane size shown at the point before it hit the oil rig. I had no idea, and I just went with choosing similarly sized circles.","2","2","1",NA,"1","1","2","21","2","Ensemble","Size"
"66",129,"I figured that the further away the dot the larger the hurricane will be when it reaches that point.","2","2","1",NA,"1","2","1","22","1","Ensemble","Size"
"67",16,"If the red dot were further away and still in close proximity with the dark lines coming from the hurricane, I would assume that it became very large. If the red dot was further away from the dark lines, it would still become larger, but not as large as if it were very close to the dark lines. The diameter was always at least a little bit larger than it first began.","2","2","2",NA,"1","1","1","18","2","Ensemble","Size"
"68",178,"Initially, I looked at the position and number of the streaks stemming from the center and used how far they branched off as an indicator of the hurricane's size. Additionally, I figured that the hurricane would continue to grow, and I looked at the size of the initial storm to determine its size when it reached the rig. For most of the survey I assumed that the storm would grow a few circle sizes as it progressed, so if the storm started at an F sized circle I would usually assume it progressed to an H. After awhile, it seemed to me that the red dot on the map coordinated with the red dot on the chart below, and for a few of the slidesI used that as a reference, though it wasn't effective after those few.","2","2","2",NA,"1","2","2","18","2","Ensemble","Size"
"69",159,"At first I thought the blue lines represented the likelihood of the hurricane taking that course. Then I changed my mind to each line. If the hurricane were to travel along that line where would it end thus allowing you to calculate it's size at a particular point.","2","2","1",NA,"2","1","2","20","1","Ensemble","Size"
"70",99,"The blues lines showed where the hurricane was going, but I based the size on how dense those lines were around the oil rig. The more dense the lines are, the bigger the hurricane will be.","2","2","2",NA,"2","1","1","20","1","Ensemble","Size"
"71",112,"I looked at how big the beginning circle was and how thick the lines were where the red dot was placed. The bigger the circle the bigger I assumed the hurricane was at the red dot. Also, the thinner the strings the smaller I assumed the hurricane was.","2","2","3",NA,"1","2","2","18","2","Ensemble","Size"
"72",28,"Well I just assumed that the farther away the red dot, and the farther the hurricane has to travel the smaller the hurricane would get. So, if the hurricane already started out really far it would probably be even smaller when it reached the red dot, so I usually went a size or two down from what the original diameter of the hurricane was.","2","2","4","Where the oil rig was","2","1","2","18","2","Ensemble","Size"
"73",139,"I just looked at the red dot.","2","2","1",NA,"1","1","1","19","2","Ensemble","Size"
"74",46,"I have no idea how to predict hurricane diameters, so I assumed that it would become larger as it became closer to the red dot and the diameter size got smaller if there were fewer blue lines.","2","2","4","The oil rig","1","2","1","24","2","Ensemble","Size"
"75",93,"I took the distance the red dot had to travel and the intensity of the color and amount of lines into consideration. the further away from the lines and color the less sever I thought it would be.","2","2","3",NA,"1","1","1","22","1","Ensemble","Size"
"76",104,"The larger the amount of water between the hurricane apex and the red dot indicates that the hurricane would get larger. I took the blue lines to mean the path that the hurricane was most likely to take. If the apex spent a longer time over the water(because the red dot was further away) then I assumed that the hurricane would then get larger.","2","2","4","An Oil Rig","1","1","2","24","1","Ensemble","Size"
"77",44,"Using the diameter measurments, I just gauged what diameter would fit the visual based on the area of red dot and the projection of the hurricane pathway.","2","2","3",NA,"1","2","2","20","2","Ensemble","Size"
"78",14,"I looked at the starting circle (the given circle) in relationship to one of the circles presented at the bottom of the map and choose the one that matched it the closest.  Then I looked at the distance between the circle and the red dot on the map.  I sometimes measured the distance with my fingers and measured it with the given letter labeled circles.  To do this, I put one finger on the lettered circle that matched the one on the map, then where my other one landed was the letter I choose for the box.  It was either that, or just a visual guess based on how far the dot was from the starting circle and the size of the starting circle.","2","2","4","Where the oil rig was","2","1","1","21","2","Ensemble","Size"
"79",12,"I would first look at the size of the initial circle then basically follow it along the center of the main path then extend it until it seemed it would reach the red dot.","2","2","3",NA,"1","2","2","19","1","Ensemble","Size"
"80",173,"I decided the size of the hurricane by the distance and the disparity of the lines. The further the red dot, the bigger the hurricane could get. Although the concentration of lines would identify if the hurricane was being very concentrated or if was being diverse with its location.","2","2","4","A location the hurricane would reach","1","1","2","20","2","Ensemble","Size"
"81",15,"I just thought the hurricane would stay about the same size.","2","2","1",NA,"2","2","2","21","2","Ensemble","Size"
"82",140,"To be able to hit the oil rig, some of the hurricanes would have had to be relatively large to make it that far out. I guessed based on how far away the oil rig was.","2","2","2",NA,"1","1","2","19","1","Ensemble","Size"
